"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"IC1";"ADUM1250";"ADUM1250";"SO8-COOL";"Hot Swappable, Dual I2C Isolators";"";"";
"IC2";"741G3157DBVR";"741G3157DBVR";"DBV_R-PDSO-G6";"Single-Pole, Double-Throw Analog Switch";"";"";
"IC3";"741G3157DBVR";"741G3157DBVR";"DBV_R-PDSO-G6";"Single-Pole, Double-Throw Analog Switch";"";"";
"J6";"Ext 5V";"22-05-7038-03";"7395-03";"CONNECTOR";"";"";
"J7";"UI";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";
"J8";"Arduino (DWM)";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";
"J9";"GNSS";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";
"J10";"HF Comm";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"LED1";"";"LEDSML1206";"SML1206";"LED";"";"";
"Q1";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"5.8A/30V/35mΩ";
"Q3";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"5.8A/30V/35mΩ";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R4";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R11";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R12";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R13";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R14";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R17";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"U$2";"AM1S-0505";"AM1S-0505";"SIP4";"";"";"";
"U$3";"NUCLEO_F411RE_MORPHO";"NUCLEO_F411RE_MORPHO";"MORPHO_HEADERS";"";"";"";
