"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SPICEPREFIX";"VALUE";
"C1";"10u Tantalum Solid";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"C";"";
"C2";"330nF";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";
"C3";"3.3uF Tantalum Solid";"C_1206";"C1206";"NON-POLARIZED CAP";"";"";"";
"C4";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"C";"";
"D1";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"DIO-09912";"";"RED";
"D2";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"DIO-00862";"";"GREEN";
"D3";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"DIO-09912";"";"RED";
"D4";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"DIO-00862";"";"GREEN";
"IC1";"DWM1000";"DWM1000";"DWM1000";"";"";"";"";
"IC2";"LD1117S33C ";"LD117ASTR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";
"J2";"ARDU_COM";"22-05-7088-08";"7395-08";"CONNECTOR";"";"";"";
"Q1";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"Q2";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"Q3";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"Q4";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"Q5";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"Q6";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"R1";"100";"R_0805";"R0805";"RESISTOR";"";"";"";
"R2";"100";"R_0805";"R0805";"RESISTOR";"";"";"";
"R3";"100";"R_0805";"R0805";"RESISTOR";"";"";"";
"R4";"100";"R_0805";"R0805";"RESISTOR";"";"";"";
"R5";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R6";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R7";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R8";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R9";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R10";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R11";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R12";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R13";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R14";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R15";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R16";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
"R17";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";
